Node,X-Coordinate,Y-Coordinate
0,-11696660,3279894
1,-11696659,3279946
2,-11696485,3279945
3,-11696885,3279894
4,-11696661,3279811
5,-11696890,3279812
6,-11696662,3279772
7,-11696661,3279685
8,-11697327,3279767
9,-11697104,3279768
10,-11697104,3279580
11,-11697343,3279725
12,-11697490,3279725
13,-11696477,3279686
14,-11696478,3279610
15,-11696661,3279610
16,-11696658,3279496
17,-11696477,3279496
18,-11697104,3279497
19,-11696835,3279497
20,-11696715,3279498
21,-11696796,3279471
22,-11697634,3279497
23,-11697554,3279497
24,-11697439,3279497
25,-11697329,3279497
26,-11697551,3279133
27,-11697437,3279133
28,-11697329,3279133
29,-11697104,3279468
30,-11697219,3279496
31,-11696882,3279496
32,-11696615,3279383
33,-11696613,3279496
34,-11696476,3279382
35,-11696355,3279382
36,-11696357,3279496
37,-11696322,3279496
38,-11696717,3279486
39,-11697217,3279132
40,-11696786,3279457
41,-11696977,3279303
42,-11697105,3279172
43,-11696967,3279294
44,-11696613,3279271
45,-11696356,3279271
46,-11696477,3279270
47,-11697672,3279136
48,-11697665,3279327
49,-11697102,3279155
50,-11696878,3279237
51,-11696613,3279163
52,-11696356,3279161
53,-11696476,3279159
54,-11696880,3278949
55,-11697144,3279132
56,-11696615,3278767
57,-11696357,3279049
58,-11696479,3279048
59,-11697131,3279127
60,-11697093,3278950
61,-11697720,3279135
62,-11697693,3278820
63,-11697277,3278994
64,-11697486,3278781
65,-11697389,3278880
66,-11697265,3278988
67,-11696357,3278938
68,-11696482,3278937
69,-11697330,3278941
70,-11697322,3278929
71,-11697093,3278862
72,-11696879,3278766
73,-11696355,3278766
74,-11696480,3278766
75,-11697378,3278871
76,-11697475,3278774
77,-11697303,3278766
78,-11697092,3278766
79,-11697552,3278713
80,-11697550,3278697
81,-11697409,3278766
82,-11696875,3278679
83,-11696453,3278662
84,-11696452,3278766
85,-11697303,3278674
86,-11697409,3278646
87,-11696323,3278766
88,-11696336,3278687
89,-11697088,3278678
90,-11697644,3278617
91,-11697634,3278610
92,-11696342,3278404
93,-11697177,3278680
94,-11696816,3278679
95,-11696875,3278585
96,-11696816,3278586
97,-11697087,3278585
98,-11697303,3278584
99,-11696453,3278608
100,-11697409,3278584
101,-11697458,3278588
102,-11697783,3278477
103,-11697508,3278536
104,-11697769,3278468
105,-11696451,3278404
106,-11696610,3278586
107,-11696816,3278403
108,-11696613,3278404
109,-11696713,3278585
110,-11696874,3278403
111,-11696713,3278403
112,-11697088,3278402
113,-11697304,3278403
114,-11697643,3278396
115,-11697506,3278402
116,-11696536,3278404
117,-11696543,3278499
118,-11697776,3278473
119,-11697818,3278441
120,-11697806,3278435
121,-11697862,3278395
122,-11697906,3278310
123,-11697853,3278391
124,-11696660,3278403
125,-11696458,3278040
126,-11697196,3278403
127,-11696661,3278040
128,-11697306,3278222
129,-11696873,3278333
130,-11697505,3278325
131,-11697070,3278326
132,-11697718,3278321
133,-11697923,3278319
134,-11696982,3278331
135,-11696873,3278262
136,-11696965,3278264
137,-11697192,3278324
138,-11697486,3278326
139,-11697058,3278114
140,-11697506,3278222
141,-11697197,3278255
142,-11697544,3278225
143,-11697791,3278243
144,-11697841,3278272
145,-11696874,3278187
146,-11696811,3278261
147,-11697144,3278256
148,-11697198,3278222
149,-11697742,3278217
150,-11697606,3278142
151,-11697305,3278042
152,-11697198,3278184
153,-11697634,3278157
154,-11696813,3278186
155,-11696968,3278187
156,-11696874,3278115
157,-11697146,3278184
158,-11697191,3278116
159,-11697582,3278129
160,-11697551,3278112
161,-11696874,3278041
162,-11696812,3278113
163,-11697058,3278041
164,-11697518,3278094
165,-11697456,3278060
166,-11697387,3278042
167,-11697257,3278041
168,-11697315,3278042
169,-11696395,3278041
170,-11697192,3278041
